module,kind,name,signature,purpose,phase,status,sphere
mom_func.slc,function,MomPlayerIsLife,int_f(int_t p_1),faction predicate p==1 (Life),B,ACTIVE,life
mom_func.slc,function,MomPlayerIsNature,int_f(int_t p_2),faction predicate p==2 (Nature),B,ACTIVE,nature
mom_func.slc,function,MomPlayerIsSorcery,int_f(int_t p_3),faction predicate p==3 (Sorcery),B,ACTIVE,sorcery
mom_func.slc,function,MomPlayerIsDeath,int_f(int_t p_4),faction predicate p==4 (Death),B,ACTIVE,death
mom_func.slc,function,MomPlayerIsChaos,int_f(int_t p_5),faction predicate p==5 (Chaos),B,ACTIVE,chaos
mom_func.slc,function,MomCountLifeBlessings,int_f(int_t p_6),weighted count of Life buildings (TEMPLE/CITY_WALLS/WIZARDS_FORTRESS),B,ACTIVE,life
mom_func.slc,function,MomCountNatureFoci,int_f(int_t p_7),weighted count of Nature buildings (GRANARY/PRIMAL_SOURCE/FANTASTIC_STABLE),B,ACTIVE,nature
mom_func.slc,function,MomCountSorceryFoci,int_f(int_t p_8),weighted count of Sorcery buildings (LIBRARY/BEACON_OF_WISDOM),B,ACTIVE,sorcery
mom_func.slc,function,MomGrantLifeBuilding,void_f(int_t p_9),grant the Life-sphere themed building in the player's first city,B,ACTIVE,life
mom_func.slc,function,MomGrantNatureBuilding,void_f(int_t p_10),grant the Nature-sphere themed building in the player's first city,B,ACTIVE,nature
mom_func.slc,function,MomGrantSorceryBuilding,void_f(int_t p_11),grant the Sorcery-sphere themed building in the player's first city,B,ACTIVE,sorcery
mom_func.slc,function,MomGrantDeathBuilding,void_f(int_t p_12),grant the Death-sphere themed building in the player's first city,B,ACTIVE,death
mom_func.slc,function,MomGrantChaosBuilding,void_f(int_t p_14),"grant the Chaos-sphere milestone building (COLOSSEUM) in the player's first city -- the only unclaimed chaos-reading improvement, every other sphere's milestone being spoken for",B,ACTIVE,chaos
mom_func.slc,function,MomCountDeathFoci,int_f(int_t p_15),weighted count of Death buildings (BARRACKS 1 / MECHANICIANS_GUILD 2) -- the additive city-focus term that squares the 5-column income matrix; Death keeps its army-fed units/3 identity term alongside it,B,ACTIVE,death
mom_func.slc,function,MomCountChaosFoci,int_f(int_t p_16),weighted count of Chaos buildings (COLOSSEUM 2 / MERCHANTS_GUILD 1) -- the deterministic floor under the random-windfall identity term,B,ACTIVE,chaos
mom_func.slc,function,MomSpawnSphereUnit,"void_f(int_t p_13, int_t unitType, int_t rung)","spawn a sphere unit on a free non-water NEIGHBOUR of the first city, never the city tile: CTP2 draws exactly ONE unit per tile and orders own units by MaxMovePoints, so a fast summon on the capital permanently hides the garrison. GetNeighbor returns 0 at the map edge and does not write its out-arg, so the return value gates the read.",B,ACTIVE,neutral
mom_turns.slc,handler,MomSphereTurnBlessings,HandleEvent(BeginTurn) post,per-turn sphere gold income by faction,B,ACTIVE,all
mom_city_effects.slc,handler,MomSphereAdvanceBlessings,HandleEvent(GrantAdvance) post,sphere magic-advance milestone: grant blessing building + spawn sphere unit (Chaos = random gold),B,ACTIVE,all
mom_city_effects.slc,handler,MomSphereCityEffects,HandleEvent(CreateBuilding) post,+30 burst gold on themed building completion,B,ACTIVE,all
mom_summon.slc,handler,MomSphereRungTick,HandleEvent(GrantAdvance) post,,?,ACTIVE,all
mom_summon.slc,function,MomSummonRoll,int_f(int_t p),,?,ACTIVE,neutral
mom_summon.slc,function,MomSummonRungOf,int_f(int_t unitType),,?,ACTIVE,neutral
mom_msg.slc,handler,MomSphereBlessingMessages,HandleEvent(GrantAdvance) post,per-sphere blessing popup on the magic advance (human-only; base Message plumbing),C,ACTIVE,all
mom_msg.slc,handler,MomSummonOrderTick,HandleEvent(BeginTurn) post,"spawn the creature ordered last turn, resolved from the CASTER'S OWN sphere; debits 75 mana",C,ACTIVE,neutral
mom_msg.slc,messagebox,MomMsgSlicAlive,messagebox,segment: SLIC liveness confirmation text,C,ACTIVE,neutral
mom_msg.slc,messagebox,MomBlessLife,messagebox,segment: Life sphere blessing popup,C,ACTIVE,life
