id,reason,note
ADVANCE_ADVANCED_COMPOSITES,modern,base CTP2 AGE_SEVEN — beyond the Renaissance cap
ADVANCE_ADV_FLIGHT_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_ADV_INFANTRY_TACTICS,modern,base CTP2 AGE_SIX — beyond the Renaissance cap
ADVANCE_ADV_NAVAL_TACTICS,modern,base CTP2 AGE_SIX — beyond the Renaissance cap
ADVANCE_ADV_URBAN_PLANNING,modern,base CTP2 AGE_SIX — beyond the Renaissance cap
ADVANCE_AERODYNAMICS,modern,base CTP2 AGE_SIX — beyond the Renaissance cap
ADVANCE_AGRICULTURAL_REVOLUTION,modern,industrial/modern tech mis-banded into AGE_THREE by base CTP2
ADVANCE_AI_SURVEILLANCE,modern,base CTP2 AGE_EIGHT — beyond the Renaissance cap
ADVANCE_ARCOLOGIES,modern,base CTP2 AGE_EIGHT — beyond the Renaissance cap
ADVANCE_ASSEMBLY_LINES_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_ASSEMBLY_LINE_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_ATOMIC_STRUC_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_BIG_BANG_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_CHAOS_THEORY,modern,base CTP2 AGE_EIGHT — beyond the Renaissance cap
ADVANCE_CHEM_WEAPS_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_COMMUNISM,modern,base CTP2 AGE_FIVE — beyond the Renaissance cap
ADVANCE_COMPUTER,modern,base CTP2 AGE_SEVEN — beyond the Renaissance cap
ADVANCE_COMPUTERS,modern,industrial/modern tech mis-banded into AGE_THREE by base CTP2
ADVANCE_CONSERVATION,modern,base CTP2 AGE_SIX — beyond the Renaissance cap
ADVANCE_CONSUMER_ELECTRONICS,modern,industrial/modern tech mis-banded into AGE_THREE by base CTP2
ADVANCE_CORPORATE_REPUBLIC,modern,base CTP2 AGE_SIX — beyond the Renaissance cap
ADVANCE_CORPORATION,modern,base CTP2 AGE_SIX — beyond the Renaissance cap
ADVANCE_CRIMINAL_CODE,modern,base CTP2 AGE_SIX — beyond the Renaissance cap
ADVANCE_CRYONICS,modern,industrial/modern tech mis-banded into AGE_THREE by base CTP2
ADVANCE_CYBERNETICS,modern,base CTP2 AGE_NINE — beyond the Renaissance cap
ADVANCE_CYCLOTRON_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_DEMOCRACY,modern,base CTP2 AGE_FIVE — beyond the Renaissance cap
ADVANCE_DIGITAL_ENCRYPTION,modern,base CTP2 AGE_EIGHT — beyond the Renaissance cap
ADVANCE_DRUGS_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_ECONOMICS,modern,base CTP2 AGE_FIVE — beyond the Renaissance cap
ADVANCE_ECOTOPIA,modern,base CTP2 AGE_NINE — beyond the Renaissance cap
ADVANCE_ELECTRICITY,modern,base CTP2 AGE_FIVE — beyond the Renaissance cap
ADVANCE_ELECTRIFICATION,modern,industrial/modern tech mis-banded into AGE_THREE by base CTP2
ADVANCE_ELEC_APPS_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_ELEC_COMP_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_ELEC_WAR_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_ENVIRONMENTALISM,modern,industrial/modern tech mis-banded into AGE_THREE by base CTP2
ADVANCE_EUGENICS,modern,base CTP2 AGE_EIGHT — beyond the Renaissance cap
ADVANCE_EUGENICS_WAW,waw_junk,'Wonders and Warriors' duplicate ladder; never referenced by MoM content
ADVANCE_EXPLOSIVES,modern,base CTP2 AGE_FIVE — beyond the Renaissance cap
ADVANCE_FASCISM,modern,base CTP2 AGE_FIVE — beyond the Renaissance cap
ADVANCE_FUEL_CELLS,modern,base CTP2 AGE_SEVEN — beyond the Renaissance cap
ADVANCE_FUSION,modern,base CTP2 AGE_NINE — beyond the Renaissance cap
ADVANCE_GAIA_CONTROLLER,modern,base CTP2 AGE_TEN — beyond the Renaissance cap
ADVANCE_GAIA_THEORY,modern,base CTP2 AGE_NINE — beyond the Renaissance cap
ADVANCE_GENETICS,modern,base CTP2 AGE_EIGHT — beyond the Renaissance cap
ADVANCE_GENETIC_TAILORING,modern,base CTP2 AGE_NINE — beyond the Renaissance cap
