ident,name,sphere,rarity,type,target,overland_cost,combat_cost,upkeep,research_cost,effect_kind,description
SPELL_AWARENESS,Awareness,arcane,common,Global Enchantment,--,500,0,3,700,global_enchant,Awareness Realm Arcane Spell Type Global Enchantment Casting Cost 500 Upkeep Cost 3 Research Cost 700 Effects Reveals all rival and neutral Town on both Planes .
SPELL_CREATE_ARTIFACT,Create Artifact,arcane,common,Instant Spell,--,0,0,0,1000,instant_damage,"Create Artifact Realm Arcane Spell Type Instant Spell Casting Cost Varies Upkeep Cost None Research Cost 1,000 Effects Allows the wizard to create a Magical Item with custom-selected properties."
SPELL_DETECT_MAGIC,Detect Magic,arcane,common,Global Enchantment,--,200,0,3,400,global_enchant,"Detect Magic Realm Arcane Spell Type Global Enchantment Casting Cost 200 Upkeep Cost 3 Research Cost 400 Effects Shows which spell each rival wizard is casting, displayed above the wizard's portrait i"
SPELL_DISENCHANT_AREA,Disenchant Area,arcane,common,Instant Spell,Map square,50,50,0,300,instant_damage,Disenchant Area Realm Arcane Spell Type Instant Spell / Combat Instant Casting Cost 50 + up to 200 Combat Cost 50 + up to 200 Research Cost 300 Effects Attempts to dispel all rival spells on the targe
SPELL_DISPEL_MAGIC,Dispel Magic,arcane,common,Instant Spell,Unit,0,10,0,100,dispel,Dispel Magic Realm Arcane Spell Type Combat Instant Combat Cost 10 + up to 40 Research Cost 100 Effects Attempts to dispel all rival spells from a target unit.
SPELL_DISJUNCTION,Disjunction,arcane,common,Instant Spell,Enemy global,200,0,0,750,dispel,Disjunction Realm Arcane Spell Type Instant Spell Casting Cost 200 + up to 800 Research Cost 750 Effects Attempts to dispel a single Global Enchantment cast by a rival wizard.
SPELL_ENCHANT_ITEM,Enchant Item,arcane,common,Instant Spell,--,0,0,0,450,instant_damage,Enchant Item Realm Arcane Spell Type Instant Spell Casting Cost Varies Upkeep Cost None Research Cost 450 Effects Allows the wizard to create one item with custom-selected properties.
SPELL_MAGIC_SPIRIT,Magic Spirit,arcane,common,Summoning Spell,--,30,0,1,0,summon,Magic Spirit Realm Arcane Spell Properties Casting Cost 30 Upkeep Cost 1 per turn Research Cost 20 * Unit Properties # of Figures 1 Moves 1 / 1 Melee Attack per figure 5 Defense per figure 4 Resistanc
SPELL_RECALL_HERO,Recall Hero,arcane,common,Combat Instant,Friendly hero,0,20,0,350,instant_damage,Recall Hero Realm Arcane Spell Type Combat Instant Combat Cost 20 Research Cost 350 Effects Instantly returns a friendly Hero to the Town currently containing the wizard's Summoning Circle .
SPELL_SPELL_OF_MASTERY,Spell of Mastery,arcane,common,Instant Spell,--,5000,0,0,60000,instant_damage,"Spell of Mastery Realm Arcane Spell Type Instant Spell Casting Cost 5,000 Research Cost 60,000 Effects The caster wins the game immediately."
SPELL_SPELL_OF_RETURN,Spell of Return,arcane,common,Instant Spell,Friendly city,1000,0,0,0,instant_damage,"Spell of Return Realm Arcane Spell Type Instant Spell Casting Cost 1,000 Research Cost ( 20 ) * Effects The caster is returned from banishment."
SPELL_SUMMON_CHAMPION,Summon Champion,arcane,common,Summoning Spell,--,750,0,0,1250,summon,
SPELL_SUMMON_HERO,Summon Hero,arcane,common,Summoning Spell,--,300,0,0,500,summon,Summon Hero Realm Arcane Spell Type Summoning Spell Casting Cost 300 Research Cost 500 Effects Summons one non- Champion Hero to your Summoning Circle .
SPELL_SUMMONING_CIRCLE,Summoning Circle,arcane,common,Instant Spell,Friendly city,50,0,0,150,instant_damage,The Summoning Circle is a unique Town feature that is neither a Building nor an Enchantment . It is used to define the starting location of Summoned units for the Wizard .
SPELL_ALTAR_OF_BATTLE,Altar of Battle,life,rare,Town Enchantment,Friendly city,300,0,5,1300,city_enchant,"Altar of Battle Realm Life Spell Rarity Rare Spell Type Town Enchantment Casting Cost 300 Upkeep Cost 5 Research Cost 1,300 Effects Any Normal Unit produced by the enchanted Town is created with 120 E"
SPELL_ANGEL,Angel,life,rare,Summoning Spell,--,550,0,15,1400,summon,"Angel Realm Life Spell Properties Spell Rarity Rare Casting Cost 550 Upkeep Cost 15 per turn Research Cost 1,400 Unit Properties # of Figures 1 Moves 3 Melee Attack per figure 13 Defense per figure 7"
SPELL_ARCH_ANGEL,Arch Angel,life,very rare,Summoning Spell,--,950,0,20,5000,summon,"Arch Angel Realm Life Spell Properties Spell Rarity Very Rare Casting Cost 950 Upkeep Cost 20 per turn Research Cost 5,000 Unit Properties # of Figures 1 Moves 4 Melee Attack per figure 15 Defense per"
SPELL_ASTRAL_GATE,Astral Gate,life,very rare,Town Enchantment,Friendly city,350,0,5,2250,city_enchant,"Astral Gate Realm Life Spell Rarity Very Rare Spell Type Town Enchantment Casting Cost 350 Upkeep Cost 5 Research Cost 2,250 Effects Friendly units in the enchanted town may move to the other Plane fr"
SPELL_BLESS,Bless,life,common,Unit Enchantment,Friendly unit,25,5,1,20,unit_enchant,Bless Realm Life Spell Rarity Common Spell Type Unit Enchantment Casting Cost 25 Combat Cost 5 Upkeep Cost 1 Research Cost 20 Effects Enchanted unit receives +3 and +3 against all attacks and spells a
SPELL_CHARM_OF_LIFE,Charm of Life,life,very rare,Global Enchantment,--,1250,0,10,6000,global_enchant,"Buggy Feature As of Master of Magic v1.31 , Charm of Life is known to be malfunctioning in at least one way. Please read the Known Bugs section below."
SPELL_CONSECRATION,Consecration,life,very rare,Town Enchantment,Friendly city,400,0,8,3000,city_enchant,Research Required This article/section is missing crucial information and may require additional research to answer the following questions: There seem to be one or more exceptions to this spell.
SPELL_CRUSADE,Crusade,life,very rare,Global Enchantment,--,1100,0,10,4500,global_enchant,"Crusade Realm Life Spell Rarity Very Rare Spell Type Global Enchantment Casting Cost 1,100 Upkeep Cost 10 Research Cost 4,500 Effects All friendly Normal Units and Heroes are 1 Experience Level higher"
